Phrase	SoundsLike	IPA	DisplayAs
well-known			
Philip-May			Philip May
Teresa-May			Teresa May
mercurial			
Spanish-Succession			Spanish Succession
Tham-Luang	tam-lang		Tham Luang
Joe	j-o		
S.-C.-C.	es-ce-ce		SCC
cavern			
minibuses			
healthcare			
prochoice			
Ballon-d'Or	bah-lon-door		Ballon d'Or
Albiceleste	ahl-bee-seh-les-teh		Albiceleste
denouement	day-noo-mah		
marshall			
outliner			
comraderie	kawm-rah-duh-ree		
Javier-Mascherano	hah-vee-air-mahs-cheh-rah-no		Javier Mascherano
Max-Kellerman			Max Kellerman
LeBron			
hardball			
Capa-del-Rey	kah-paj-dell-ray		Capa del Rey
Aesop's-Fables			Aesop's Fables
Tom-Rogers			Tom Rogers
Dennis-Kucinich			Dennis Kucinich
Roe-v.-Wade			Roe v. Wade
Berger-Court	bair-zhay-koor		Berger Court
Worriors			
Steph-Curry			Steph Curry
G.-P.-S.			GPS
Jongun			
Dallach			
Matuidi			
Paris-Hitch			Paris Hitch
Peter-Wilson			Peter Wilson
Ivan-Perisic			Ivan Perisic
V.-A.-R.			VAR
shove			
Fourteenth-Amendment			Fourteenth Amendment
patreon-dot-com-slash-ted-ed			patreon.com/teded
Sparknotes-dot-com			Sparknotes.com
getquip-dot-com			getquip.com
squarespace			
squarespace-dot-com-slash-jenna-julien			squarespace.com/jennajulien
jennajulien	jen-uh-joo-lee-en		
eSports			
thus		d ə s	thus
hazing	hey-zing		
mic			
dude			
heck			
brat			
cause			
til			
damn			
push-streams			
SteelSeries			
Taurus			
gig			
Nyxio	nik-see-oh		
Nyxios	nik-see-ohs		
Gustafson	guh-staf-suhn		
Lorien-Sekora			Lorien Sekora
Cynthia-Kaysar	sin-thai-uh-kai-sar		Cynthia Kaysar
John-Acunto	jon-ah-koon-toh		John Acunto
Vioware	vy-oh-w-air		
Mirjam			
VioSphere	vy-oh-s-phere		
iPhone			
iCloud			
AirPods			
I.-D.-C.-s			IDCs
S.-C.-C			SCC
Q.-two			Q2
Associated-Press			
forward-looking			
M.-B.-A			MBA
kick-off			kick off
Y.-M.-C.-A.			YMCA
bio-design	by-oh-dih-sign		bio design
bistable	by-stay-buhl		
destibulative	dee-stuh-buh-lay-tiv		
monocycles	mon-oh-sahy-kuls		
in-depth			in depth
Del-Terra	dell-teh-rah		Del Terra
Devin	dev-in		
LibriVox	lee-bree-vox		
high-power			high-power
mettle			
home-centered			
Trepoff	trep-off		
well-remembered			
drug-created			
gasogene	gas-uh-jeen		
long-gone			
razor-sharp			
damselfish	dam-zuhl-fish		
moray	muh-ray		
wrasse-groomed	ras-groomed		
mail-clad	meyl-klad		
viaticum	vahy-uh-ti-kuhm		
Tiberius	ti-beer-ee-uhs		
Sarcina	sahr-sin-uh		
Servius	sur-vee-uhs		
Dex	deks		
Sin	sin		
wife-to-be			
eagle-bearer			
Teutoburg-Forest			Teutoburg Forest
light-sensitive			
CMOS			
D.-S.-L.-R.			DSLR
de-mosaicing	dee-moh-say-sing		
off-campus			
internship			
A.-L.-P.-I.			ALPI
freshman			
newcomers			
Robeson	rohb-uh-suhn		
Sophomore	suhf-uh-mawr		
NABA			
Savannah-Molyneux	suh-van-uh-muh-lin-oh		Savannah Molyneux
S.-G.-A.			SGA
C.-E.-O.			CEO
Caboni	kah-boh-nee		
Budget-Council	buh-jit-kown-suhl		Budget Council
Chachki	chahch-kee		
Well-being		w ɛ l b i n	well-being
Ladonna-Hunton	luh-don-uh-hun-tun		Ladonna Hunton
Laura-DeLancey	law-ruh-duh-lan-see		Laura DeLancey
Emmitt-Smith	em-it-smith		Emmit Smith
stashed	stashd		
Bicycles	bahy-si-kuhls		
Cell-phone	sel-fohn		cell-phone
Guillone	gee-yoan		
unpasteurized	uhn-pas-chuh-rahyzd		
Bojangles	boh-jang-guhls		
Chick-fil-A	chik-fil-ay		
Taco-Bell	tah-koh-bel		Taco Bell
Nikki-Lane	nik-ee-layn		Nikki Lane
Freeverse	free-vers		Freeverse
boredom	bor-duhm		
Tascam	tas-kam		
Blue-beard	bloo-beerd		Bluebeard
Rumpelstiltskin	rum-puhl-stilt-skin		
sci-fi	sai-fai		
Meyer	mai-uhr		
fairy-tales	fair-ee-taylz		fairytales
Allman-Brothers	ahl-muhn-bruhth-ers		Allman Brothers
W.-C.-O.-S.	double-u-see-oh-es		WCOS
Gov't-Mule	guhv-ern-ment-mewl		Gov't Mule
Marty-Stewart	mar-tee-stoo-ert		Marty Stewart
Alan-Woody	al-en-wuh-dee		Alan Woody
Matt-Abts	mat-abts		Matt Abts
Bulldogs	bool-dawgs		
best-selling	best-sel-ing		best-selling
Smitherees-of-Sheffield	smith-er-ees-of-shef-feeld		Smitherees-of-Sheffield
Wryly	rai-lee		wryly
unelevated	uhn-el-ev-ay-ted		
fripperies	frip-er-ees		
one-up-man-ship	wun-uhp-muhn-ship		one-upmanship
Jean-Jacques-Rousseau	zhahn-zhahk-roo-soh		Jean-Jacques Rousseau
Hopper	hah-per		
Esteem	eh-steem		esteem
Jeremy	jair-uh-mee		
Craig-Holder	krayg-hohl-der		Craig Holder
Jeanette	zhahn-et		
Realtor	ree-luh-ter		realtor
Mel-Wilson	mel-wil-suhn		
Remax	ree-maks		
Dave-Monitor	dayv-mon-i-ter		
Animoji	an-uh-moh-jee		
True-Depth	troo-depth		TrueDepth
i-tech	eye-tek		
Peggy-Johnson	peg-ee-jahn-suhn		Peggy Johnson
The-Yield	thee-yeeld		The Yield
I.-O.-T.	eye-oh-tee		IoT
oyster-estuaries	ois-ter-es-chew-air-ees		oyster estuaries
startups	stahrt-ups		startups
Shauna-Bainbridge	shaw-nuh-bain-bridj		Shauna Bainbridge
Yarvy	yar-vee		
Quorum	kwor-uhm		quorun
Jamie-Zimora	jay-mee-zi-mor-ah		Jamie Zimora
Chip-man-Shan	chip-man-shan		Chipman Shan
Caitlyn	kayt-lin		
Jeanne-King	zhahn-king		Jeanne King
acupuncture-board	ak-yoo-punk-cher-bord		acupuncture board
Jay-Hurt	jay-hurt		Jay Hurt
Auburn-Williamson	aw-burn-wil-lim-son		Auburn Williamson
Sylvia-Donaldson	sil-vee-ah-don-ald-son		Sylvia Donaldson
Mrs-Donaldson	miss-is-don-ald-son		Mrs. Donaldson
Alderman-Titus	ahl-der-man-tie-tus		Alderman Titus
Birthing-from-Within	bur-th-ing-from-with-in		Birthing from Within
Kerrigan-Tonya-Harding	keh-rih-gan-toe-nee-ah-hard-ing		Kerrigan Tonya Harding
Richard-Feynman	ree-chard-fine-men		Richard Feyman
Andrea	an-dree-ah		
counseling	kown-suh-ling		
